customer_id,full_name,mobile_number,age,gender,region,date_joined,is_business_user,risk_score
cust100000,Ryan Gallagher,7631706690,26,female,north,1/28/2024,FALSE,0.39
cust100001,Robert Garza,806360837,49,female,west,4/16/2025,FALSE,0.13
cust100002,Haley Rhodes,8124158683,68,male,west,2/10/2022,TRUE,0.14
cust100003,Sonya Mathis,3662585178,42,male,north,2/18/2021,FALSE,0.07
cust100004,Ryan Wood,9996228303,35,female,south,4/17/2023,FALSE,0.3
cust100005,Crystal Palmer,9068288360,24,female,north,12/31/2022,TRUE,0
cust100006,Julian Everett,5088995790,59,female,west,8/13/2024,FALSE,0.41
cust100007,Krista White,1107043419,45,female,central,7/8/2021,FALSE,0.11
cust100008,Christopher Scott,5771046563,46,female,central,11/20/2021,FALSE,0.24
cust100009,Nicholas Davila,6202786838,32,female,west,11/6/2022,FALSE,0.17
cust100010,Amanda Leonard,2304114426,19,male,central,6/3/2023,FALSE,0.38
cust100011,Justin Jefferson,9806351396,24,male,east,7/21/2023,FALSE,0
cust100012,Todd Price MD,4023592563,39,female,central,12/4/2021,FALSE,0.16
cust100013,James Kelley,122283459,45,female,south,2/15/2023,FALSE,0.15
cust100014,Gerald Wilson,9815061622,55,female,west,4/19/2022,FALSE,0.34
cust100015,Rachael Gray,5498174104,50,male,north,8/27/2020,FALSE,0.07
cust100016,Anna Wilson,6217232166,65,female,west,8/17/2024,FALSE,0.18
cust100017,Sabrina Pierce,5000495765,41,female,east,8/3/2022,TRUE,0.09
cust100018,Evan Guzman,9875428343,60,female,south,10/29/2021,FALSE,0.21
cust100019,Douglas Lucero,3640525943,43,male,north,4/7/2022,FALSE,0.27
cust100020,Lauren Carlson,6148110045,37,female,central,1/23/2023,FALSE,0.07
cust100021,Brittany Mason,2225418942,43,female,south,1/23/2025,FALSE,0.34
cust100022,Thomas Johnson,2468203417,18,female,central,8/20/2024,FALSE,0.31
cust100023,Kimberly York,2470690059,53,male,central,4/14/2021,FALSE,0.26
cust100024,David Calderon,9137028587,54,male,east,3/31/2025,FALSE,0.31
cust100025,Courtney Edwards,8943018528,56,female,north,6/4/2024,FALSE,0.12
cust100026,Emily Schwartz,1198962246,70,female,central,9/6/2021,FALSE,0.19
cust100027,Norma Williams,2808141412,51,female,south,6/10/2025,FALSE,0.09
cust100028,Tracy Parks,6625729731,21,male,east,10/1/2022,FALSE,0.17
cust100029,Susan Guerrero,387900934,30,female,west,8/17/2021,FALSE,0.26
cust100030,Joshua Nelson,5761396341,40,male,north,2/11/2025,FALSE,0.12
cust100031,Keith Smith,5946858501,57,female,east,10/22/2022,FALSE,0.15
cust100032,Eric Ross,3804983798,19,female,south,8/22/2022,FALSE,0.12
cust100033,Victoria Torres,3580696659,29,female,central,7/8/2023,FALSE,0.1
cust100034,Stephanie Goodman,6264219054,70,female,north,8/2/2024,FALSE,0.12
cust100035,Michael Torres,7804819615,61,male,north,12/5/2020,FALSE,0.2
cust100036,Christopher Page,9438335411,66,female,south,2/3/2024,FALSE,0.07
cust100037,Mary Mcdonald,4593686274,69,female,east,12/5/2024,FALSE,0.23
cust100038,Daniel Stuart,5634312979,28,male,central,2/28/2025,FALSE,0.4
cust100039,Lisa Green,5463134113,60,male,east,7/31/2022,FALSE,0.29
cust100040,Brett Lopez Jr.,8975419213,38,female,north,8/5/2022,TRUE,0.18
cust100041,James Jackson II,6374579131,42,male,south,10/28/2020,FALSE,0.09
cust100042,Shannon Flores,6220062809,34,female,central,6/29/2022,FALSE,0.11
cust100043,Joel Larsen,8204161307,56,male,north,10/13/2023,FALSE,0.4
cust100044,Melissa Singleton,4330992569,43,male,south,2/1/2024,FALSE,0.21
cust100045,Tracy Stein,6149142120,50,female,central,3/10/2025,FALSE,0.12
cust100046,Sarah Brown,5150280726,58,female,central,5/30/2024,FALSE,0.22
cust100047,Jill Doyle,1406045246,51,female,west,8/18/2024,FALSE,0.45
cust100048,Elizabeth Coleman,5586971278,69,male,west,7/15/2025,TRUE,0.21
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
